ITA,SCN,LOCAL,DEMONYM,FROM_CS,FROM_CSFLS,FROM_DT
Graniti,,,,,,
Gratteri,,,,,,
Gravina di Catania,Gravina (già I Prachi),,,1,,
Grotte,Grutti,,,0,,
Gualtieri Sicaminò,,,,,,
Isnello,,,,,,
Isola delle Femmine,,,,,,
Ispica,Spaccafurnu,,,1,,
Itala,,,,,,
Joppolo Giancaxio,(Jòppulu) Giancasciu,,,1,,
Lampedusa e Linosa,Mpidusa e Linusa,,,0,,
Lascari,,,,,,
Leni,,,,,,
Lentini,Lintini,Lindini,,1,,
Leonforte,Liunforti,"Liunforti, Livrò",,1,,
Lercara Friddi,,,,,,
Letojanni,,,,,,
Librizzi,,,,,,
Licata,Alicata,"Licata, Alicata",,1,,
Licodia Eubea,Licuddìa,,,,,
Limina,Lìmmina,,,1,,
Linguaglossa,Linguagrossa,,,0,,
Lipari,,,,,,
Longi,,,,,,
Lucca Sicula,Lucca,,,0,,
Maletto,Malettu,,,0,,
Malfa,,,,,,
Malvagna,,,,,,
Mandanici,,,,,,
Maniace,Maniaci,,,0,,
Marianopoli,I Manchi,,,2,,
Marineo,,,,,,
Marsala,Marsala,Majssala,,1,,
Mascali,Màscali,,,1,,
Mascalucia,(A) Mascalucìa,,,1,,
Mazara del Vallo,Mazzara,,,1,,
Mazzarino,Mazzarinu,,,1,,
Mazzarrà Sant'Andrea,,,,,,
Mazzarrone,,,,,,
Melilli,Miliḍḍi,,,1,,
Menfi,Mènfrici,,,1,,
Merì,,,,,,
Messina,Missina,,,1,,
Mezzojuso,Menzijusu,,,1,,
Milazzo,Milazzu,,,1,,
Milena,Milocca,,,1,,
Militello in Val di Catania,Militeḍḍu,"Militeḍḍu, Militiḍḍu",,1,,
Militello Rosmarino,,,,,,
Milo,U Milu,,,0,,
Mineo,Mineu,,,0,,
Mirabella Imbaccari,,,,,,
Mirto,Mirtu,,,1,,
Misiliscemi,,,,,,
Misilmeri,Musulumeli,,,1,,
Misterbianco,Mustarjancu,,,1,,
Mistretta,Mistretta,,,1,,
